artist,date,album,track_n,track_title,line,lyric
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,9,So many things that I wish you knew
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,10,So many walls up I can't break through
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,11,Now I'm standing alone In a crowded room
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,12,And we're not speaking
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,13,"And I'm dying to know is it killing you like it's killing me, yeah"
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,14,I don't know what to say
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,15,since the twist of fate when it all broke down
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,16,And the story of us looks a lot like a tragedy now
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,17,Next chapter
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,18,How'd we end up this way
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,19,See me nervously pulling at my clothes
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,20,and trying to look busy
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,21,And you're doing your best to avoid me
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,22,I'm starting to think one day I'll tell the story of us
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,23,How I was losing my mind when I saw you here
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,24,But you held your pride like you should've held me
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,25,"Oh, I'm scared to see the ending,"
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,26,why are we pretending this is nothing
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,27,"I'd tell you I miss you, but I don't know how"
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,28,I've never heard silence quite this loud
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,29,Now I'm standing alone in a crowded room
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,30,And we're not speaking
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,31,"And I'm dying to know is it killing you like it's killing me, yeah"
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,32,I don't know what to say since
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,33,the twist of fate when it all broke down
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,34,And the story of us looks a lot like a tragedy now
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,35,This is looking like a contest
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,36,of who can act like they care less
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,37,But I liked it better when you were on my side
Taylor Swift,2011/11/21,Speak Now World Tour Live,3,The Story of Us,38,The battles in your hands now
